['-0.01', '+0.94', '-0.44', '-0.05', '+0.01', '+0.06', '+0.00', '+0.00']
['+0.41', '+0.46', '-0.01', '-0.42', '+0.34', '-0.04', '+0.00', '+0.00']
['+0.37', '+0.36', '-0.38', '-0.27', '+0.21', '-0.18', '+0.00', '+0.00']
['+0.28', '+0.28', '-0.45', '-0.26', '+0.03', '-0.18', '+0.00', '+0.00']
['+0.20', '+0.21', '-0.39', '-0.21', '-0.11', '-0.10', '+0.00', '+0.00']
['+0.13', '+0.14', '-0.30', '-0.20', '-0.18', '-0.06', '+0.00', '+0.00']
['+0.08', '+0.09', '-0.15', '-0.17', '-0.20', '+0.02', '+0.00', '+0.00']
['+0.07', '+0.04', '+0.01', '-0.12', '-0.14', '+0.07', '+0.00', '+0.00']
['+0.08', '+0.01', '+0.09', '-0.10', '-0.06', '+0.09', '+0.00', '+0.00']
['+0.09', '-0.00', '+0.02', '+0.00', '-0.00', '+0.00', '+1.00', '+0.00']
['+0.09', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+0.00']
['+0.09', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+0.00']
['-0.04', '+0.88', '-0.28', '-0.48', '-0.05', '-0.14', '+0.00', '+0.00']
['-0.10', '+0.66', '-0.24', '-0.78', '-0.16', '-0.07', '+0.00', '+0.00']
['-0.13', '+0.47', '-0.10', '-0.53', '-0.20', '+0.00', '+0.00', '+0.00']
['-0.13', '+0.33', '+0.07', '-0.40', '-0.16', '+0.07', '+0.00', '+0.00']
['-0.11', '+0.22', '+0.16', '-0.30', '-0.08', '+0.09', '+0.00', '+0.00']
['-0.07', '+0.15', '+0.18', '-0.25', '+0.00', '+0.08', '+0.00', '+0.00']
['-0.03', '+0.08', '+0.19', '-0.20', '+0.08', '+0.07', '+0.00', '+0.00']
['+0.00', '+0.03', '+0.11', '-0.17', '+0.12', '+0.01', '+0.00', '+0.00']
['+0.01', '-0.00', '+0.08', '-0.08', '-0.02', '-0.26', '+1.00', '+1.00']
['+0.02', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.06', '+0.89', '+0.27', '-0.44', '+0.09', '+0.11', '+0.00', '+0.00']
['+0.11', '+0.68', '+0.24', '-0.77', '+0.19', '+0.09', '+0.00', '+0.00']
['+0.14', '+0.49', '+0.07', '-0.58', '+0.21', '-0.02', '+0.00', '+0.00']
['+0.13', '+0.34', '-0.13', '-0.46', '+0.14', '-0.09', '+0.00', '+0.00']
['+0.09', '+0.23', '-0.22', '-0.32', '+0.04', '-0.11', '+0.00', '+0.00']
['+0.05', '+0.15', '-0.22', '-0.26', '-0.06', '-0.08', '+0.00', '+0.00']
['+0.00', '+0.09', '-0.21', '-0.18', '-0.13', '-0.04', '+0.00', '+0.00']
['-0.03', '+0.03', '-0.10', '-0.17', '-0.15', '+0.01', '+0.00', '+0.00']
['-0.03', '-0.00', '+0.02', '-0.10', '+0.02', '+0.18', '+0.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.03', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.77', '-0.33', '-0.82', '-0.10', '-0.14', '+0.00', '+0.00']
['-0.12', '+0.54', '-0.14', '-0.64', '-0.18', '-0.02', '+0.00', '+0.00']
['-0.13', '+0.38', '+0.03', '-0.46', '-0.18', '+0.06', '+0.00', '+0.00']
['-0.11', '+0.26', '+0.19', '-0.31', '-0.09', '+0.11', '+0.00', '+0.00']
['-0.07', '+0.17', '+0.18', '-0.26', '-0.00', '+0.07', '+0.00', '+0.00']
['-0.03', '+0.10', '+0.19', '-0.21', '+0.06', '+0.07', '+0.00', '+0.00']
['+0.00', '+0.05', '+0.16', '-0.15', '+0.11', '+0.04', '+0.00', '+0.00']
['+0.03', '+0.01', '+0.13', '-0.08', '+0.13', '-0.33', '+0.00', '+1.00']
['+0.05', '-0.00', '+0.04', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '+0.94', '+0.29', '-0.11', '+0.03', '+0.14', '+0.00', '+0.00']
['+0.09', '+0.83', '+0.30', '-0.65', '+0.16', '+0.10', '+0.00', '+0.00']
['+0.14', '+0.60', '+0.13', '-0.68', '+0.23', '+0.00', '+0.00', '+0.00']
['+0.15', '+0.42', '-0.09', '-0.49', '+0.18', '-0.08', '+0.00', '+0.00']
['+0.12', '+0.30', '-0.20', '-0.36', '+0.08', '-0.10', '+0.00', '+0.00']
['+0.07', '+0.20', '-0.24', '-0.29', '-0.03', '-0.10', '+0.00', '+0.00']
['+0.02', '+0.12', '-0.20', '-0.22', '-0.11', '-0.04', '+0.00', '+0.00']
['-0.01', '+0.06', '-0.13', '-0.19', '-0.14', '-0.02', '+0.00', '+0.00']
['-0.03', '+0.01', '-0.09', '-0.14', '-0.15', '-0.01', '+0.00', '+0.00']
['-0.04', '-0.00', '-0.01', '+0.03', '-0.01', '+0.11', '+1.00', '+1.00']
['-0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.04', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.08', '+0.96', '-0.65', '-0.04', '-0.01', '-0.21', '+0.00', '+0.00']
['-0.22', '+0.86', '-0.67', '-0.57', '-0.18', '-0.13', '+0.00', '+0.00']
['-0.34', '+0.66', '-0.47', '-0.62', '-0.27', '-0.07', '+0.00', '+0.00']
['-0.41', '+0.50', '-0.25', '-0.42', '-0.33', '-0.05', '+0.00', '+0.00']
['-0.43', '+0.40', '+0.07', '-0.29', '-0.33', '+0.07', '+0.00', '+0.00']
['-0.39', '+0.32', '+0.28', '-0.24', '-0.22', '+0.15', '+0.00', '+0.00']
['-0.31', '+0.26', '+0.43', '-0.22', '-0.05', '+0.18', '+0.00', '+0.00']
['-0.22', '+0.19', '+0.43', '-0.21', '+0.11', '+0.12', '+0.00', '+0.00']
['-0.15', '+0.13', '+0.26', '-0.18', '+0.18', '+0.03', '+0.00', '+0.00']
['-0.11', '+0.09', '+0.13', '-0.13', '+0.17', '-0.02', '+0.00', '+0.00']
['-0.10', '+0.05', '+0.04', '-0.11', '+0.12', '-0.05', '+0.00', '+0.00']
['-0.09', '+0.02', '+0.00', '-0.08', '+0.07', '-0.04', '+0.00', '+0.00']
['-0.10', '-0.00', '-0.03', '-0.03', '-0.02', '-0.11', '+1.00', '+1.00']
['-0.10', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.10', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.02', '+0.97', '-0.23', '+0.12', '-0.01', '-0.12', '+0.00', '+0.00']
['-0.07', '+0.92', '-0.24', '-0.41', '-0.12', '-0.10', '+0.00', '+0.00']
['-0.12', '+0.71', '-0.22', '-0.81', '-0.19', '-0.05', '+0.00', '+0.00']
['-0.14', '+0.51', '-0.03', '-0.56', '-0.20', '+0.02', '+0.00', '+0.00']
['-0.12', '+0.36', '+0.17', '-0.46', '-0.11', '+0.09', '+0.00', '+0.00']
['-0.09', '+0.24', '+0.18', '-0.33', '-0.02', '+0.09', '+0.00', '+0.00']
['-0.04', '+0.16', '+0.22', '-0.25', '+0.06', '+0.08', '+0.00', '+0.00']
['-0.00', '+0.09', '+0.15', '-0.22', '+0.13', '+0.04', '+0.00', '+0.00']
['+0.02', '+0.03', '+0.05', '-0.13', '+0.12', '-0.01', '+0.00', '+0.00']
['+0.02', '-0.00', '-0.03', '-0.08', '-0.02', '+0.19', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.03', '+0.78', '-0.14', '-0.79', '-0.04', '-0.05', '+0.00', '+0.00']
['-0.06', '+0.55', '-0.14', '-0.66', '-0.09', '-0.04', '+0.00', '+0.00']
['-0.08', '+0.37', '-0.14', '-0.50', '-0.13', '-0.04', '+0.00', '+0.00']
['-0.09', '+0.25', '-0.01', '-0.32', '-0.13', '+0.03', '+0.00', '+0.00']
['-0.09', '+0.17', '+0.06', '-0.25', '-0.09', '+0.03', '+0.00', '+0.00']
['-0.07', '+0.10', '+0.13', '-0.19', '-0.04', '+0.07', '+0.00', '+0.00']
['-0.04', '+0.05', '+0.12', '-0.16', '+0.01', '+0.04', '+0.00', '+0.00']
['-0.02', '+0.01', '+0.09', '-0.14', '+0.05', '+0.02', '+0.00', '+0.00']
['-0.01', '-0.00', '+0.02', '+0.02', '-0.02', '+0.05', '+1.00', '+1.00']
['-0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '+0.93', '+0.37', '-0.22', '-0.00', '+0.12', '+0.00', '+0.00']
['+0.10', '+0.77', '+0.37', '-0.76', '+0.16', '+0.13', '+0.00', '+0.00']
['+0.17', '+0.55', '+0.25', '-0.62', '+0.26', '+0.06', '+0.00', '+0.00']
['+0.18', '+0.39', '-0.06', '-0.46', '+0.23', '-0.08', '+0.00', '+0.00']
['+0.15', '+0.28', '-0.21', '-0.34', '+0.12', '-0.12', '+0.00', '+0.00']
['+0.10', '+0.19', '-0.29', '-0.26', '+0.01', '-0.12', '+0.00', '+0.00']
['+0.04', '+0.12', '-0.28', '-0.21', '-0.10', '-0.09', '+0.00', '+0.00']
['-0.01', '+0.06', '-0.24', '-0.21', '-0.17', '-0.04', '+0.00', '+0.00']
['-0.05', '+0.01', '-0.12', '-0.07', '-0.18', '+0.29', '+1.00', '+0.00']
['-0.06', '-0.00', '-0.01', '+0.04', '-0.02', '+0.14', '+1.00', '+1.00']
['-0.06', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.06', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.01', '+0.94', '+0.22', '-0.10', '-0.00', '+0.09', '+0.00', '+0.00']
['+0.06', '+0.83', '+0.22', '-0.63', '+0.10', '+0.09', '+0.00', '+0.00']
['+0.10', '+0.60', '+0.16', '-0.70', '+0.17', '+0.04', '+0.00', '+0.00']
['+0.11', '+0.42', '+0.01', '-0.52', '+0.16', '-0.04', '+0.00', '+0.00']
['+0.10', '+0.28', '-0.13', '-0.38', '+0.10', '-0.09', '+0.00', '+0.00']
['+0.06', '+0.19', '-0.21', '-0.26', '+0.01', '-0.11', '+0.00', '+0.00']
['+0.02', '+0.12', '-0.21', '-0.22', '-0.08', '-0.08', '+0.00', '+0.00']
['-0.01', '+0.06', '-0.12', '-0.19', '-0.12', '-0.00', '+0.00', '+0.00']
['-0.02', '+0.01', '+0.01', '-0.14', '-0.10', '+0.04', '+0.00', '+0.00']
['-0.02', '-0.00', '-0.01', '+0.03', '+0.02', '-0.09', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00']
['-0.02', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.04', '+0.88', '+0.56', '-0.62', '-0.02', '+0.06', '+0.00', '+0.00']
['+0.15', '+0.65', '+0.49', '-0.75', '+0.15', '+0.13', '+0.00', '+0.00']
['+0.23', '+0.46', '+0.31', '-0.52', '+0.26', '+0.06', '+0.00', '+0.00']
['+0.27', '+0.34', '+0.05', '-0.32', '+0.28', '-0.02', '+0.00', '+0.00']
['+0.25', '+0.25', '-0.17', '-0.26', '+0.20', '-0.12', '+0.00', '+0.00']
['+0.20', '+0.19', '-0.32', '-0.20', '+0.07', '-0.14', '+0.00', '+0.00']
['+0.13', '+0.13', '-0.29', '-0.17', '-0.07', '-0.09', '+0.00', '+0.00']
['+0.08', '+0.08', '-0.18', '-0.16', '-0.12', '-0.04', '+0.00', '+0.00']
['+0.06', '+0.04', '-0.10', '-0.11', '-0.12', '+0.01', '+0.00', '+0.00']
['+0.05', '+0.01', '-0.02', '-0.11', '-0.10', '+0.05', '+0.00', '+0.00']
['+0.05', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.05', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.94', '-0.35', '-0.25', '-0.10', '-0.15', '+0.00', '+0.00']
['-0.14', '+0.78', '-0.36', '-0.78', '-0.23', '-0.10', '+0.00', '+0.00']
['-0.19', '+0.57', '-0.11', '-0.59', '-0.27', '+0.01', '+0.00', '+0.00']
['-0.18', '+0.41', '+0.16', '-0.46', '-0.19', '+0.12', '+0.00', '+0.00']
['-0.13', '+0.29', '+0.29', '-0.37', '-0.06', '+0.15', '+0.00', '+0.00']
['-0.07', '+0.20', '+0.31', '-0.28', '+0.08', '+0.12', '+0.00', '+0.00']
['-0.02', '+0.11', '+0.15', '-0.22', '+0.14', '+0.01', '+0.00', '+0.00']
['+0.00', '+0.05', '+0.04', '-0.18', '+0.13', '-0.03', '+0.00', '+0.00']
['+0.01', '+0.01', '-0.03', '-0.12', '+0.10', '-0.06', '+0.00', '+0.00']
['+0.00', '-0.00', '-0.01', '+0.01', '-0.02', '+0.03', '+1.00', '+1.00']
['+0.00', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '+0.88', '-0.70', '-0.56', '+0.02', '-0.09', '+0.00', '+0.00']
['-0.20', '+0.66', '-0.64', '-0.70', '-0.15', '-0.15', '+0.00', '+0.00']
['-0.31', '+0.48', '-0.40', '-0.44', '-0.25', '-0.08', '+0.00', '+0.00']
['-0.37', '+0.37', '-0.12', '-0.34', '-0.31', '-0.02', '+0.00', '+0.00']
['-0.36', '+0.29', '+0.17', '-0.21', '-0.25', '+0.11', '+0.00', '+0.00']
['-0.31', '+0.23', '+0.31', '-0.18', '-0.13', '+0.12', '+0.00', '+0.00']
['-0.24', '+0.18', '+0.34', '-0.18', '+0.00', '+0.12', '+0.00', '+0.00']
['-0.18', '+0.13', '+0.29', '-0.17', '+0.10', '+0.07', '+0.00', '+0.00']
['-0.12', '+0.09', '+0.24', '-0.12', '+0.15', '+0.03', '+0.00', '+0.00']
['-0.08', '+0.05', '+0.14', '-0.11', '+0.16', '-0.00', '+0.00', '+0.00']
['-0.07', '+0.02', '+0.04', '-0.10', '+0.12', '-0.05', '+0.00', '+0.00']
['-0.07', '-0.00', '-0.01', '+0.04', '-0.04', '+0.12', '+1.00', '+1.00']
['-0.07', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.92', '+0.07', '-0.59', '-0.00', '+0.03', '+0.00', '+0.00']
['+0.02', '+0.68', '+0.05', '-0.80', '+0.03', '+0.02', '+0.00', '+0.00']
['+0.02', '+0.46', '-0.01', '-0.60', '+0.03', '-0.02', '+0.00', '+0.00']
['+0.02', '+0.31', '-0.01', '-0.44', '+0.02', '+0.00', '+0.00', '+0.00']
['+0.03', '+0.20', '+0.05', '-0.31', '+0.04', '+0.02', '+0.00', '+0.00']
['+0.04', '+0.12', '+0.04', '-0.23', '+0.06', '+0.02', '+0.00', '+0.00']
['+0.04', '+0.06', '-0.00', '-0.16', '+0.05', '+0.00', '+0.00', '+0.00']
['+0.04', '+0.02', '-0.03', '-0.14', '+0.04', '-0.01', '+0.00', '+0.00']
['+0.03', '-0.00', '-0.01', '+0.04', '-0.04', '+0.12', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.02', '+0.95', '+0.61', '+0.11', '-0.02', '-0.06', '+0.00', '+0.00']
['+0.14', '+0.90', '+0.56', '-0.42', '+0.12', '+0.16', '+0.00', '+0.00']
['+0.25', '+0.70', '+0.49', '-0.77', '+0.24', '+0.08', '+0.00', '+0.00']
['+0.31', '+0.52', '+0.18', '-0.49', '+0.30', '+0.04', '+0.00', '+0.00']
['+0.32', '+0.39', '-0.09', '-0.34', '+0.27', '-0.09', '+0.00', '+0.00']
['+0.28', '+0.30', '-0.25', '-0.28', '+0.16', '-0.13', '+0.00', '+0.00']
['+0.22', '+0.23', '-0.36', '-0.20', '+0.02', '-0.15', '+0.00', '+0.00']
['+0.14', '+0.16', '-0.33', '-0.21', '-0.11', '-0.08', '+0.00', '+0.00']
['+0.09', '+0.11', '-0.19', '-0.18', '-0.14', '-0.00', '+0.00', '+0.00']
['+0.07', '+0.06', '-0.05', '-0.14', '-0.13', '+0.04', '+0.00', '+0.00']
['+0.07', '+0.02', '+0.05', '-0.09', '-0.07', '+0.06', '+0.00', '+0.00']
['+0.08', '-0.00', '+0.02', '+0.00', '+0.04', '-0.00', '+1.00', '+1.00']
['+0.08', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['+0.08', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00']
['-0.03', '+0.95', '-0.68', '+0.14', '+0.03', '+0.07', '+0.00', '+0.00']
['-0.15', '+0.91', '-0.62', '-0.39', '-0.12', '-0.15', '+0.00', '+0.00']
['-0.28', '+0.72', '-0.56', '-0.71', '-0.24', '-0.08', '+0.00', '+0.00']
['-0.36', '+0.54', '-0.29', '-0.52', '-0.32', '-0.05', '+0.00', '+0.00']
['-0.38', '+0.41', '+0.02', '-0.33', '-0.32', '+0.06', '+0.00', '+0.00']
['-0.35', '+0.33', '+0.29', '-0.25', '-0.22', '+0.15', '+0.00', '+0.00']
['-0.28', '+0.26', '+0.39', '-0.23', '-0.05', '+0.16', '+0.00', '+0.00']
['-0.19', '+0.19', '+0.44', '-0.22', '+0.10', '+0.13', '+0.00', '+0.00']
['-0.11', '+0.13', '+0.34', '-0.18', '+0.19', '+0.05', '+0.00', '+0.00']
['-0.06', '+0.08', '+0.16', '-0.18', '+0.22', '-0.02', '+0.00', '+0.00']
['-0.05', '+0.03', '-0.06', '-0.13', '+0.15', '-0.12', '+0.00', '+0.00']
['-0.07', '-0.00', '-0.05', '-0.03', '-0.05', '-0.09', '+1.00', '+1.00']
['-0.07', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.07', '-0.00', '+0.00', '+0.00', '-0.00', '-0.00', '+1.00', '+1.00']
['-0.07', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.04', '+0.91', '-0.18', '-0.37', '-0.07', '-0.09', '+0.00', '+0.00']
['-0.07', '+0.71', '-0.16', '-0.83', '-0.13', '-0.04', '+0.00', '+0.00']
['-0.10', '+0.49', '-0.05', '-0.63', '-0.16', '+0.00', '+0.00', '+0.00']
['-0.08', '+0.34', '+0.16', '-0.45', '-0.09', '+0.10', '+0.00', '+0.00']
['-0.05', '+0.23', '+0.17', '-0.33', '-0.01', '+0.06', '+0.00', '+0.00']
['-0.01', '+0.14', '+0.16', '-0.26', '+0.06', '+0.07', '+0.00', '+0.00']
['+0.02', '+0.07', '+0.10', '-0.20', '+0.10', '+0.03', '+0.00', '+0.00']
['+0.03', '+0.02', '+0.03', '-0.16', '+0.10', '-0.01', '+0.00', '+0.00']
['+0.03', '-0.00', '+0.01', '+0.04', '-0.02', '+0.12', '+1.00', '+1.00']
['+0.03', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.00', '+0.97', '+0.02', '+0.09', '-0.00', '-0.00', '+0.00', '+0.00']
['+0.01', '+0.92', '+0.02', '-0.44', '-0.01', '-0.00', '+0.00', '+0.00']
['+0.01', '+0.70', '+0.03', '-0.86', '-0.01', '+0.03', '+0.00', '+0.00']
['+0.02', '+0.48', '+0.02', '-0.61', '+0.01', '+0.02', '+0.00', '+0.00']
['+0.02', '+0.32', '+0.02', '-0.44', '+0.04', '+0.00', '+0.00', '+0.00']
['+0.03', '+0.21', '-0.00', '-0.36', '+0.04', '-0.01', '+0.00', '+0.00']
['+0.02', '+0.12', '-0.03', '-0.23', '+0.02', '-0.01', '+0.00', '+0.00']
['+0.01', '+0.06', '-0.04', '-0.19', '+0.01', '-0.01', '+0.00', '+0.00']
['-0.00', '+0.01', '-0.05', '-0.13', '-0.01', '-0.02', '+0.00', '+0.00']
['-0.01', '-0.00', '-0.00', '-0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '-0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['-0.01', '-0.00', '+0.00', '+0.00', '-0.00', '+0.00', '+1.00', '+1.00']
['+0.03', '+0.80', '+0.15', '-0.78', '+0.05', '+0.08', '+0.00', '+0.00']
['+0.06', '+0.56', '+0.13', '-0.73', '+0.11', '+0.03', '+0.00', '+0.00']
['+0.08', '+0.38', '+0.08', '-0.50', '+0.13', '+0.00', '+0.00', '+0.00']
['+0.08', '+0.26', '-0.03', '-0.35', '+0.12', '-0.04', '+0.00', '+0.00']
['+0.06', '+0.17', '-0.12', '-0.26', '+0.06', '-0.06', '+0.00', '+0.00']
['+0.04', '+0.10', '-0.08', '-0.22', '+0.02', '-0.02', '+0.00', '+0.00']
['+0.03', '+0.05', '-0.07', '-0.16', '-0.00', '-0.03', '+0.00', '+0.00']
['+0.02', '+0.00', '-0.02', '-0.11', '-0.02', '+0.01', '+0.00', '+0.00']
